,train_metric_epoch_hd,valid_metric_epoch_hd,all_metric_epoch_hd,train_hd_metric_epoch_dice_hd,valid_hd_metric_epoch_dice_hd,all_hd_metric_epoch_dice_hd
146,3.4073196566519437,8.544042025864886,4.434664130494532,2.2032013504652266,11.444422228231755,4.051445526018532
147,6.2437650093759185,18.443467108776254,8.683705429255985,2.5194727019617815,11.910149630300456,4.397608087629516
148,2.143495382664911,10.647435560340533,3.8442834182000354,2.5151563053164088,11.287728518782405,4.269670748009608
149,2.7539627864858987,8.22285732874873,3.8477416949384646,2.33701966785237,11.98050002802347,4.26571573988659
150,6.844833510470506,18.687428039933263,9.213352416363056,2.4098559920808897,11.5592897455663,4.239742742777972
151,1.6842576321345453,10.577794046324021,3.46296491497244,2.4040753162872406,11.396034642793275,4.202467181588448
152,2.105681179898882,9.983931397732142,3.681331223465534,2.3878306380016587,11.900747002111238,4.290413910823575
153,2.0291855236110137,13.572850357628456,4.337918490414502,2.2533863146469235,11.396034642793275,4.081915980276194
154,2.042239446445231,8.176925647113908,3.269176686578966,2.291412618262925,11.554347037970974,4.143999502204535
155,2.0601841490607526,10.614916970071368,3.771130713262876,2.2621197731475045,11.910149630300456,4.191725744578095
156,2.024821734075701,7.756857786696795,3.1712289445999198,2.213659690157456,11.396034642793275,4.05013468068462
157,2.16620281927618,10.647435560340533,3.86244936748905,2.181944279047495,5.774033253305564,2.900362073899109
158,1.8932930417368032,10.205376691932734,3.5557097717759896,2.1148448215348115,11.721007037711958,4.03607726477024
159,2.0034988112454433,10.386153913014788,3.680029831599312,2.084325118795803,11.610009701571315,3.9894620353509054
160,1.8092576321345453,11.211141115534948,3.6896343288146256,2.0193300951916524,11.721007037711958,3.9596654836957135
161,1.8506605944059127,10.217380975761891,3.524004670677108,1.9954824140590743,5.8161335135401275,2.759612633955285
162,1.7777565590138633,10.227355650016568,3.467676377214404,2.021945650818501,11.769394623150436,3.971435445284888
163,1.8499002283766006,10.988112537315617,3.6775426901644037,2.2021303103118712,11.798899703694442,4.1214841889883855
164,2.3482422718117753,8.06627112827977,3.4918480431053736,1.7970469240132894,11.178980335903523,3.673433606391336
165,4.694068782305207,18.5162891271034,7.458512851264845,2.560195085902662,5.590888391938323,3.1663337471097943
166,2.2586093904764426,11.052595191944711,4.017406550770096,6.101068610898502,16.392496953800237,8.15935427947885
167,1.6481446641806503,9.977502445219393,3.3140162203883987,2.8254556051623654,16.43222506838608,5.546809497807109
168,8.376645416626904,19.352122322376957,10.571740797776915,2.040733443290765,6.149181923280314,2.862423139288675
169,2.1344266116971102,10.400393507224685,3.787619990802625,4.874841292217435,5.805531284802612,5.060979290734471
170,2.07409977077485,10.333693471070298,3.72601851083394,5.567544320672166,15.311962511970524,7.516427958931837
171,1.8845623129666487,9.81000285138334,3.4696504206499865,7.334376581922094,19.60311963172342,9.78812519188236
172,3.2797403863431605,10.448548141775289,4.713501937429586,2.6065145122034914,13.648645191746496,4.814940648112092
173,1.7418630015191237,10.709827723634277,3.5354559459421546,2.504898324616768,13.34421917791186,4.672762495275786
174,2.004043965658382,7.52207862025903,3.1076508965785115,2.3615530762801225,11.844181781559245,4.258078817335947
175,1.6909499929475347,10.131620672850916,3.3790841289282114,2.404800872556142,5.560950284449893,3.036030754934892
176,1.90450354037182,10.585789392078318,3.6407607107131197,2.440298055995282,5.656312344160824,3.0835009136283906
177,1.7993274637164434,11.353754528222602,3.7102128766176747,2.6495766550517517,5.637220208216524,3.247105365684706
178,1.6736222174777502,9.90996814595302,3.320891403172804,2.7734058843869125,5.710169225091681,3.3607585525278667
179,1.885563143605799,10.605741233792818,3.629598761643203,2.5173401192465974,5.732582267927453,3.1603885489827688
180,1.9557500335652285,13.771472443792687,4.318894515610721,2.2433534312109678,5.707827389529258,2.936248222874626
181,2.4282778261278977,10.547165717910714,4.052055404484461,2.1407129812102763,5.656312344160824,2.843832853800386
182,3.5816029038267865,13.732061916636214,5.611694706388672,1.9842119080895948,11.289193289740554,3.8452081844197865
183,1.6081752809205436,10.616017698388172,3.409743764414069,1.9424896765069137,11.507183243534222,3.855428389912375
184,1.7952610247257477,10.121926494339068,3.4605941186484115,1.93845873261654,11.362108438692982,3.823188673831828
185,3.4336266315523702,12.450071499796808,5.236915605201258,1.8652354279131769,11.289193289740554,3.750027000278652
186,1.6620324421969568,10.296325925129997,3.3888911387835647,1.9109886033862318,11.362108438692982,3.801212570447582
187,1.6818093799751253,11.073074935978202,3.560062491175741,1.805853431210968,11.425140772123154,3.7297108993934054
188,1.7793383405958532,10.628618952520457,3.549194462980774,1.7859886033862316,11.507183243534222,3.7302275314158293
189,1.5548158938929528,9.842771267445675,3.212406968603497,1.8027354279131769,11.289193289740554,3.700027000278652
190,1.8429672298040136,11.12712311897414,3.6997984076380392,1.7067417788592865,11.289193289740554,3.6232320810355403
191,1.8425080917342245,10.443961858526876,3.562798845092755,1.7127652986828685,11.348870848356523,3.6399864086175997
192,1.611204484022803,9.971882222104911,3.2833400316392245,1.7692417788592865,11.425140772123154,3.70042157751206
193,1.6071735401324292,10.770446486071899,3.4398281293203232,1.670130126507605,11.447505684918255,3.625605238189735
194,2.0416872883634607,10.09983666948891,3.6533171645885503,1.7692417788592865,5.624409801478896,2.540275383383208
195,1.4323438609028123,9.971882222104911,3.140251533143232,1.6187642255621866,11.289193289740554,3.5528500383978603
196,1.9182569583264064,10.807713137604166,3.6961481941819585,1.7564020292126592,11.470659553076091,3.6992535339853454
197,2.154244951201216,10.221448660735707,3.767685693108114,1.6859640104419675,5.624409801478896,2.4736531686493533
198,1.5633673807263944,10.41835545566596,3.3343649957143073,1.6812642255621866,11.447505684918255,3.6345125174334
199,2.456263258162447,8.935035524854968,3.752017711500951,1.876291751411238,11.721007037711958,3.845234808671382
200,3.056209684934319,10.332297282302536,4.511427204407963,1.7147578746160768,5.624409801478896,2.49668825998864
201,1.6848385830773847,10.815762126311968,3.511023291724301,1.7581076798047048,11.460743275254714,3.6986347988947066
202,2.1124955332685458,8.190933015749762,3.3281830297647885,1.8893433849707089,5.9629232554286915,2.704059359062305
203,1.5232269307257031,10.928525048940434,3.4042865543686496,1.685461562771025,11.734357812226175,3.6952408126620555
204,2.8637973618137336,9.043285289306326,4.099694947312252,1.7839960274530233,11.768069506283643,3.7808107232191475
205,1.4200843344836476,6.878464290496073,2.5117603256861325,1.6939801061987578,11.033715422393186,3.5619271694376438
206,1.7041224599592817,10.743362996395962,3.5119705672466184,1.6331076798047048,11.447505684918255,3.5959872808274147
207,2.6678695273639903,8.850142987522107,3.904324219395613,1.6055917585504393,11.197776660176263,3.5240287388756046
208,4.507012326009791,12.888281145123786,6.18326608983259,1.66298117931944,10.754186477674303,3.481222238990412
209,1.6702965198260697,10.5404144555696,3.444320106974776,1.7002158113647619,6.614247725174564,2.683022194126722
210,1.6802266882441714,10.492444224795022,3.4426701955543413,1.585726930725703,12.012132828160215,3.6710081102126053
211,1.8369399467072753,9.620385997610384,3.393629156887897,1.74937695103455,5.488462319096298,2.4971940246468995
212,1.3321067811865477,10.654964350212538,3.196678294991746,1.5243523580902858,6.455935329996864,2.5106689524716015
213,1.6325597415393838,10.185049560218934,3.3430577052752937,1.6336848674743882,5.646774714273997,2.4363028368343103
214,1.2544417382415922,10.086749739439455,3.0209033384811645,1.6604864571448676,5.7327159254897655,2.474932350813847
215,1.5816959868353293,10.561974192495338,3.3777516279673305,1.4379565863751758,5.624409801478896,2.27524722939592
216,1.5574782209645326,7.372544558441767,2.7204914884599796,1.7234886033862316,5.782722196656596,2.5353353220403045
217,1.5008673807263944,10.402475070274848,3.281188918636085,1.423202337781439,5.624409801478896,2.26344383052093
218,1.7143900884364331,10.558705902402384,3.4832532512296233,1.697600255737913,5.738462319096298,2.5057726684095902
219,1.4603591445460593,7.465403991396692,2.6613681139161858,1.5430917585504396,5.624409801478896,2.3593553671361307
220,1.4403599566596026,10.54430260382629,3.26114848609294,1.5629565863751758,5.738462319096298,2.3980577329194004
221,1.5376133931397962,7.966409035150655,2.8233725215419683,1.6402108349689126,5.782722196656596,2.468713107306449
222,1.176776695296637,6.774829839327666,2.2963873241028425,1.485702337781439,5.624409801478896,2.31344383052093
223,1.5243065660663286,10.379761055913406,3.2953974640357444,1.6864661566833317,5.782722196656596,2.5057173646779844
224,1.217830085889911,10.207803805487533,3.0158248298094352,1.4897332816718127,5.624409801478896,2.3166685856332294
225,1.2696067811865477,6.855854444718579,2.3868563138929537,1.548202337781439,5.782722196656596,2.3951063095564704
226,1.5228591445460593,7.8017037828715745,2.7786280722111623,1.6502652986828685,5.624409801478896,2.4450941992420736
227,1.2026650429449555,7.153542531284265,2.3928405406128173,1.5263449340234942,5.624409801478896,2.345957907514575
228,1.2071067811865477,7.01592076868112,2.3688695786854623,1.4419417382415922,5.874409801478896,2.3284353508890527
229,1.416053390593274,7.625397635570502,2.6579222395887196,1.6783584076068172,5.624409801478896,2.467568686381233
230,1.4603591445460593,7.736310203290521,2.7155493562949515,1.6082073141772881,11.853820432982516,3.6573299379383335
231,1.2787483043079209,10.20567188756664,3.0641330209596647,1.3973139901331204,5.732582267927453,2.264367645691987
232,1.331695986835329,7.066425224196882,2.47864183430764,1.574501479780976,5.482582267927453,2.3561176374102715
233,2.00977449830907,8.229764985561276,3.2537725957595116,1.721906821804242,11.730355629884556,3.723596583420305
234,3.4126824698165867,12.722808999338326,5.274707775720935,1.6082073141772881,11.017575601404168,3.490080971622664
235,3.5285669049670125,16.212288142733925,6.065311152520396,1.4722718241315031,5.732582267927453,2.324333912890693
236,2.7126823805348015,8.064536661547004,3.783053236737242,1.8210184741559232,11.717872950599919,3.800389369444722
237,3.6516649439247453,14.644091153247611,5.850150185789319,1.3778599566596026,5.817543992956018,2.265796763918886
238,1.9434912348614406,9.870209721823173,3.528834932253787,1.408448089187702,5.488462319096298,2.224450935169421
239,1.6812642255621866,11.452943710394733,3.635600122528696,1.6087097618482307,5.782722196656596,2.4435122488099035
240,8.048846899587705,17.655408577059653,9.970159235082095,1.445972682131966,5.596634785544856,2.276105102814544
241,2.8383128566586855,8.452825313771271,3.9612153480812027,1.5569330665515937,5.624409801478896,2.3704284135370544
242,10.669333499411103,20.98712576170938,12.732891951870759,1.568477959957394,5.725856388133718,2.399953645592659
243,5.4634518939634855,17.616195620518354,7.894000639274459,1.6254565863751758,5.646774714273997,2.42972021195494
244,6.311006543574169,18.082051905082086,8.665215615875752,1.4629319934309115,6.0996549230807,2.3902765793608696
245,6.163698790123537,13.616744527399636,7.654307937578757,1.4607269307257031,5.529565819838542,2.2744947085482705
246,4.716299935888437,13.02795853170813,6.378631655052375,1.5223139901331204,5.782722196656596,2.374395631437815
247,6.264327163436488,14.799740363579556,7.971409803465102,1.5736798910785388,11.717872950599919,3.6025185029828153
248,9.626387857188348,20.08579948670535,11.71827018309175,1.5004565863751758,5.646774714273997,2.32972021195494
249,33.888692139942684,33.10125293279796,33.73120429851374,1.5055671656061753,5.725856388133718,2.349625010111684
